
422 rows returned

id     | filename                                                                                                                                | filepath                                                                                                                                                                          | sourceintegratedlufs | sourceloudnessrangelu | sourcetruepeakdbtp | transcodedbymediavortex | pass_count | category       
682805 | Supernatural - S02E04 - Children Shouldn't Play With Dead Things WEBDL-480p-mv-mv.mp4                                                   | T:\Supernatural\Season 2\Supernatural - S02E04 - Children Shouldn't Play With Dead Things WEBDL-480p-mv-mv.mp4                                                                    | -21.6                | 19.8                  | 0.6                | True                    | 2          | clipping       
682620 | The Boys - S04E07 - The Insider WEBRip-720p-mv.mp4                                                                                      | T:\The Boys\Season 4\The Boys - S04E07 - The Insider WEBRip-720p-mv.mp4                                                                                                           | -21.4                | 19.6                  | 0.6                | None                    | 1          | clipping       
682680 | Invincible - S03E05 - THIS WAS SUPPOSED TO BE EASY WEBDL-unknownOptimized-mv.mp4                                                        | T:\Invincible\Season 3\Invincible - S03E05 - THIS WAS SUPPOSED TO BE EASY WEBDL-unknownOptimized-mv.mp4                                                                           | -21.3                | 17.3                  | 0.6                | None                    | 1          | clipping       
683707 | Star Trek - Strange New Worlds - S02E01 - The Broken Circle WEBDL-480p Proper-mv.mp4                                                    | T:\Star Trek - Strange New Worlds\Season 2\Star Trek - Strange New Worlds - S02E01 - The Broken Circle WEBDL-480p Proper-mv.mp4                                                   | -21.1                | 18.6                  | 0.6                | None                    | 1          | clipping       
683300 | Arrested Development - S04E15 - Blockheads HDTV-720p-mv.mp4                                                                             | T:\Arrested Development\Season 4\Arrested Development - S04E15 - Blockheads HDTV-720p-mv.mp4                                                                                      | -21.0                | 7.8                   | 0.6                | None                    | 1          | clipping       
682953 | Family Guy - S19E08 - Pawtucket Pat WEBDL-480p-mv-mv.mp4                                                                                | T:\Family Guy\Season 19\Family Guy - S19E08 - Pawtucket Pat WEBDL-480p-mv-mv.mp4                                                                                                  | -20.5                | 7.0                   | 0.6                | True                    | 2          | clipping       
682673 | Family Guy - S19E09 - The First No L WEBDL-480p-mv.mp4                                                                                  | T:\Family Guy\Season 19\Family Guy - S19E09 - The First No L WEBDL-480p-mv.mp4                                                                                                    | -20.5                | 8.8                   | 0.6                | None                    | 1          | clipping       
682440 | Supernatural - S11E07 - Plush HDTV-720p-mv.mp4                                                                                          | T:\Supernatural\Season 11\Supernatural - S11E07 - Plush HDTV-720p-mv.mp4                                                                                                          | -20.3                | 10.2                  | 0.6                | None                    | 1          | clipping       
682670 | Family Guy - S21E07 - The Stewaway SDTV-mv-mv.mp4                                                                                       | T:\Family Guy\Season 21\Family Guy - S21E07 - The Stewaway SDTV-mv-mv.mp4                                                                                                         | -19.9                | 7.7                   | 0.6                | True                    | 2          | clipping       
9995   | Schitt's Creek - S02E09 - Moira's Nudes WEBRip-1080p-mv.mp4                                                                             | T:\Schitt's Creek\Season 2\Schitt's Creek - S02E09 - Moira's Nudes WEBRip-1080p-mv.mp4                                                                                            | -19.9                | 14.1                  | 0.6                | True                    | 1          | clipping       
10001  | Schitt's Creek - S02E10 - Ronnie's Party WEBRip-1080p-mv.mp4                                                                            | T:\Schitt's Creek\Season 2\Schitt's Creek - S02E10 - Ronnie's Party WEBRip-1080p-mv.mp4                                                                                           | -19.8                | 12.6                  | 0.6                | True                    | 1          | clipping       
682935 | Adventure Time - S05E49 - Bad Timing Bluray-480p-mv.mp4                                                                                 | T:\Adventure Time\Season 5\Adventure Time - S05E49 - Bad Timing Bluray-480p-mv.mp4                                                                                                | -18.8                | 8.2                   | 0.6                | None                    | 1          | clipping       
682470 | Adventure Time - S05E35 - Love Games Bluray-480p-mv-mv.mp4                                                                              | T:\Adventure Time\Season 5\Adventure Time - S05E35 - Love Games Bluray-480p-mv-mv.mp4                                                                                             | -18.7                | 7.8                   | 0.6                | True                    | 2          | clipping       
